,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,pm10,so2
81,JAKARTA PUSAT,10,2019,106.84999999999997,-6.200000000000003,60.90423284810322,2019-10-01,69.3523010253898,28.72562622070319,1.3285711780189875,2655,85.63219885478777,4.777317466710437
82,JAKARTA PUSAT,11,2019,106.84999999999997,-6.200000000000003,55.12840842196014,2019-11-01,75.7246948242178,28.390573730468816,3.268009833991256,2526,77.83759466898773,4.595281271524631
83,JAKARTA PUSAT,12,2019,106.84999999999997,-6.200000000000003,51.11516707974828,2019-12-01,82.81606445312491,27.477592773437493,10.8810789883137,2225,72.57785439899612,4.454480989531824
84,JAKARTA SELATAN,1,2019,106.8083333333333,-6.283333333333336,43.010489846216586,2019-01-01,84.29902140299475,26.92278747558595,8.062062226235756,35626,61.35827103194252,4.190625359107634
85,JAKARTA SELATAN,2,2019,106.8083333333333,-6.283333333333336,50.278382366129016,2019-02-01,84.99999491373696,27.10713602701824,10.103604694207307,56465,71.35825614845747,4.312794487081525
86,JAKARTA SELATAN,3,2019,106.8083333333333,-6.283333333333336,49.422489515708186,2019-03-01,84.11181640624979,26.9744842529297,9.411540379126544,43211,70.20562363063048,5.248388820495759
87,JAKARTA SELATAN,4,2019,106.8083333333333,-6.283333333333336,60.268036428112914,2019-04-01,84.35215759277341,27.528972371419275,10.21841115628641,35486,85.03450699631173,6.074633780139313
88,JAKARTA SELATAN,5,2019,106.8083333333333,-6.283333333333336,66.79566091843392,2019-05-01,80.99267069498708,27.7987823486328,2.9201918902496424,29867,94.9440690758674,6.84174766493721
89,JAKARTA SELATAN,6,2019,106.8083333333333,-6.283333333333336,69.84928064588235,2019-06-01,74.69914245605456,27.818139648437512,1.0341040169199789,26099,99.2967346125097,6.831896185626257
90,JAKARTA SELATAN,7,2019,106.8083333333333,-6.283333333333336,58.79609640392553,2019-07-01,70.55372111002583,27.44368794759117,0.7819574636717915,29074,83.72563612783408,6.165502553199169
91,JAKARTA SELATAN,8,2019,106.8083333333333,-6.283333333333336,57.62350857215456,2019-08-01,69.09007263183587,27.40835774739585,0.8516324994465495,30594,81.41391675634996,5.331869647870601
92,JAKARTA SELATAN,9,2019,106.8083333333333,-6.283333333333336,56.868045224102765,2019-09-01,68.11966451009108,27.82710469563803,0.4274477250874398,29516,80.63093958683008,5.167468406395812
93,JAKARTA SELATAN,10,2019,106.8083333333333,-6.283333333333336,61.81777339896362,2019-10-01,68.55995686848928,28.50381876627605,1.6331093696256211,27220,86.91495607177757,5.025883337051801
94,JAKARTA SELATAN,11,2019,106.8083333333333,-6.283333333333336,55.61786892766602,2019-11-01,75.09509277343678,28.14466857910163,3.453464154153826,24329,78.52277504759464,4.797713299400267
95,JAKARTA SELATAN,12,2019,106.8083333333333,-6.283333333333336,53.43417192419755,2019-12-01,83.3117370605468,27.1614267985026,11.796619494756117,30175,75.83292738693687,4.750635293113645
96,JAKARTA TIMUR,1,2019,106.90999999999995,-6.2600000000000025,42.67791254145919,2019-01-01,84.25601318359384,26.970911376953108,8.35430586338029,44990,60.90488093709217,4.049902545015375
97,JAKARTA TIMUR,2,2019,106.90999999999995,-6.2600000000000025,48.55931058974319,2019-02-01,84.95882446289063,27.137468994140622,10.5179660432038,56817,68.9260588870873,4.096055785683669
98,JAKARTA TIMUR,3,2019,106.90999999999995,-6.2600000000000025,48.91954023615117,2019-03-01,84.27899047851554,27.024175048828123,10.106060385703676,53780,69.48916955925208,5.064940080115502
99,JAKARTA TIMUR,4,2019,106.90999999999995,-6.2600000000000025,58.46117941151431,2019-04-01,84.46510498046871,27.56515673828125,10.988985352217677,37461,82.48122497415574,5.772137240824513
100,JAKARTA TIMUR,5,2019,106.90999999999995,-6.2600000000000025,63.861789278974925,2019-05-01,80.85066040039084,27.88044702148433,2.9556597471236925,149379,90.7767223428868,6.479922581856911
101,JAKARTA TIMUR,6,2019,106.90999999999995,-6.2600000000000025,66.30801761057742,2019-06-01,75.16810424804665,27.823635986328146,0.9486215487122942,24453,94.27397503003668,6.418024076599312
102,JAKARTA TIMUR,7,2019,106.90999999999995,-6.2600000000000025,55.95911750333577,2019-07-01,71.43036376953086,27.36818750000008,0.7247739955783159,36772,79.69876418675085,5.804523518681922
103,JAKARTA TIMUR,8,2019,106.90999999999995,-6.2600000000000025,55.29040599938728,2019-08-01,69.84541381835912,27.35800292968753,0.667664632201277,41803,78.1093611224779,5.020689067701974
104,JAKARTA TIMUR,9,2019,106.90999999999995,-6.2600000000000025,54.71760523042254,2019-09-01,68.73131225585922,27.78445458984378,0.3685611411929441,39595,77.58432709910907,4.882561409483039
105,JAKARTA TIMUR,10,2019,106.90999999999995,-6.2600000000000025,60.07196956048311,2019-10-01,69.73634643554635,28.46504809570315,1.6963020339607624,36256,84.45128764241488,4.777638939641493
106,JAKARTA TIMUR,11,2019,106.90999999999995,-6.2600000000000025,54.85180279111555,2019-11-01,76.89059692382718,28.032628173828208,4.030535303055929,36946,77.4329384813185,4.636849135128633
107,JAKARTA TIMUR,12,2019,106.90999999999995,-6.2600000000000025,52.11904008225128,2019-12-01,83.44163330078113,27.20345385742187,11.552197501063372,39260,73.9836247613354,4.546189817046511
108,JAKARTA UTARA,1,2019,106.89166666666664,-6.125000000000004,39.31280888578057,2019-01-01,83.71051228841135,27.325972086588543,8.115672332545055,30302,56.2104503881105,3.619875794605901
109,JAKARTA UTARA,2,2019,106.89166666666664,-6.125000000000004,44.140258938323086,2019-02-01,84.46781412760426,27.414910685221344,9.045880275467924,38082,62.6937499287952,3.659447153714917
110,JAKARTA UTARA,3,2019,106.89166666666664,-6.125000000000004,44.87986077192675,2019-03-01,83.83976542154959,27.41507934570309,9.55303218836564,37218,63.76563869320905,4.5657842329736935
111,JAKARTA UTARA,4,2019,106.89166666666664,-6.125000000000004,53.53799095312729,2019-04-01,83.94344380696609,27.89082763671875,9.531922706712932,29455,75.51851092320852,5.180651929490089
112,JAKARTA UTARA,5,2019,106.89166666666664,-6.125000000000004,58.66493769188648,2019-05-01,80.85502827962235,28.209719238281224,2.6672851853072648,25449,83.41979686182299,5.840269655363873
113,JAKARTA UTARA,6,2019,106.89166666666664,-6.125000000000004,61.4095229363929,2019-06-01,75.75523478190064,28.191311442057327,0.8370020737250954,19297,87.34593564380907,5.780661135459919
114,JAKARTA UTARA,7,2019,106.89166666666664,-6.125000000000004,51.8807987168509,2019-07-01,72.87189432779893,27.6488881429037,0.6669229269027959,23121,73.94905795858288,5.233892314005357
115,JAKARTA UTARA,8,2019,106.89166666666664,-6.125000000000004,52.1896725796336,2019-08-01,71.68311157226518,27.566807250976627,0.5215521218876537,26521,73.74737896705086,4.587572819958628
116,JAKARTA UTARA,9,2019,106.89166666666664,-6.125000000000004,51.602708370051005,2019-09-01,70.9428141276038,27.936733398437543,0.2875386985639909,27496,73.19988830979626,4.461500151540191
117,JAKARTA UTARA,10,2019,106.89166666666664,-6.125000000000004,59.1936880632745,2019-10-01,71.24939575195256,28.680398152669323,1.1505047231912249,29526,83.22627448147999,4.424767293660069
118,JAKARTA UTARA,11,2019,106.89166666666664,-6.125000000000004,53.87889803050944,2019-11-01,76.65361429850184,28.45773783365891,3.214779812842432,27389,76.07821687985212,4.293402261646064
119,JAKARTA UTARA,12,2019,106.89166666666664,-6.125000000000004,48.06840312257262,2019-12-01,82.43336385091139,27.63428019205729,10.058319568634076,31251,68.28806153238743,4.079590221077436
120,JAKARTA BARAT,1,2020,106.74999999999996,-6.158333333333336,39.20152927605587,2020-01-01,85.89500630696614,27.189461466471386,14.475729682792847,30245,56.164344301260485,3.886675746525201
121,JAKARTA BARAT,2,2020,106.74999999999996,-6.158333333333336,38.27991187637577,2020-02-01,86.1364217122395,27.07735453287765,13.69126349687543,33209,55.08045919120079,3.5636897164787897
122,JAKARTA BARAT,3,2020,106.74999999999996,-6.158333333333336,46.58930561735639,2020-03-01,84.38978373209632,27.503462524414108,11.113327058653192,31334,66.3666103445983,4.742537091207399
123,JAKARTA BARAT,4,2020,106.74999999999996,-6.158333333333336,50.98097483625765,2020-04-01,84.41822509765625,27.74862141927088,7.677212382356436,12593,72.526713399412,5.537569635600621
124,JAKARTA BARAT,5,2020,106.74999999999996,-6.158333333333336,55.66893495906938,2020-05-01,83.59945475260417,27.996995239257853,5.889278029402071,7176,79.21048668140728,6.2289710788418935
125,JAKARTA BARAT,6,2020,106.74999999999996,-6.158333333333336,59.31703106969948,2020-06-01,81.03355712890628,27.838000488281285,2.050814616183473,8235,84.53908886312765,6.060966896931407
126,JAKARTA BARAT,7,2020,106.74999999999996,-6.158333333333336,61.03202390879893,2020-07-01,77.49566752115882,27.559046630859388,1.6562249821921782,7186,87.06696933400202,6.385240980968273
127,JAKARTA BARAT,8,2020,106.74999999999996,-6.158333333333336,57.81892100900351,2020-08-01,74.8413350423176,27.963108317057305,1.584933598836356,7620,82.34101898689083,5.643189648138358
128,JAKARTA BARAT,9,2020,106.74999999999996,-6.158333333333336,54.83256731232527,2020-09-01,74.38914794921871,28.158529663085943,1.9451159176727912,8463,77.91499028581627,5.3556200873901325
129,JAKARTA BARAT,10,2020,106.74999999999996,-6.158333333333336,57.304864392469646,2020-10-01,77.8150136311849,27.87962931315106,6.048352299258242,7417,81.08354135277114,5.235849869664013
